market,tea_type,response_no,verbatim,theme,sentiment,persona
UK,Cold brew black tea,563,I avoid caffeine for health reasons,Caffeine concerns,Negative,Convenience Buyer
CA,Cold brew fruit and herbal tea,564,The taste is too bitter for me,Taste / flavour,Negative,Traditional Drinker
UK,Chai tea,565,Tastes medicinal and unpleasant,Taste / flavour,Negative,Wellness Seeker
UK,Green tea decaffeinated,566,Not sure of the right water temperature,Brewing complexity,Negative,Price-Conscious Rejecter
UK,Instant tea powder,567,Cheaper options do the same job,Price / value,Neutral,Wellness Seeker
US,Regular / everyday black tea,568,Hard to find in my local shop,Availability,Positive,Convenience Buyer
CA,Cold brew fruit and herbal tea,569,Takes too long to make,Brewing complexity,Negative,Traditional Drinker
UK,Bubble tea,570,I avoid caffeine for health reasons,Caffeine concerns,Negative,Price-Conscious Rejecter
UK,Cold brew black tea,571,Rarely see it on the shelf,Availability,Negative,Functional Benefit Seeker
UK,"Origin black tea (e.g. Assam, Darjeeling)",572,Too watery for me,Texture / mouthfeel,Negative,Convenience Buyer
UK,"Origin black tea (e.g. Assam, Darjeeling)",573,I've never really tried it,Unfamiliarity,Negative,Curious Explorer
UK,Green tea decaffeinated,574,Premium pricing puts me off,Price / value,Negative,Price-Conscious Rejecter
US,Lemon / ginger tea,575,Rarely see it on the shelf,Availability,Negative,Functional Benefit Seeker
UK,English Breakfast / extra-strong black tea,576,I just prefer my usual tea,Habit / preference,Negative,Traditional Drinker
CA,"Origin black tea (e.g. Assam, Darjeeling)",577,Not part of my routine,Habit / preference,Negative,Functional Benefit Seeker
CA,Green tea decaffeinated,578,I wouldn't know where to start with it,Unfamiliarity,Negative,Convenience Buyer
CA,Bubble tea,579,Not stocked where I shop,Availability,Negative,Price-Conscious Rejecter
US,"Benefit / functional tea (sleep, detox, immunity)",580,Can't get it easily,Availability,Negative,Price-Conscious Rejecter
US,Regular / everyday black tea,581,Looking for healthier alternatives,Health perception,Negative,Price-Conscious Rejecter
US,Other tea (e.g. white tea),582,Not stocked where I shop,Availability,Negative,Functional Benefit Seeker
US,"Benefit / functional tea (sleep, detox, immunity)",583,Never been introduced to it properly,Unfamiliarity,Neutral,Wellness Seeker
US,Cold brew green tea,584,Rarely see it on the shelf,Availability,Neutral,Functional Benefit Seeker
CA,Chamomile tea,585,I don't like the texture,Texture / mouthfeel,Negative,Price-Conscious Rejecter
US,Chai tea,586,Tastes medicinal and unpleasant,Taste / flavour,Neutral,Functional Benefit Seeker
CA,Rooibos / red tea,587,Want something caffeine-free,Caffeine concerns,Neutral,Functional Benefit Seeker
US,Flavoured black tea (e.g. Earl Grey),588,Not sure of the right water temperature,Brewing complexity,Neutral,Functional Benefit Seeker
US,Instant tea powder,589,Too much caffeine for the evening,Caffeine concerns,Negative,Wellness Seeker
US,Other cold brew tea,590,Never been introduced to it properly,Unfamiliarity,Neutral,Traditional Drinker
UK,Matcha tea,591,Too strong a flavour for my liking,Taste / flavour,Negative,Convenience Buyer
CA,Cold brew black tea,592,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Traditional Drinker
US,Chai tea,593,Hard to find in my local shop,Availability,Negative,Traditional Drinker
CA,Other tea (e.g. white tea),594,Rarely see it on the shelf,Availability,Negative,Functional Benefit Seeker
UK,Other cold brew tea,595,Not worth the extra cost,Price / value,Neutral,Functional Benefit Seeker
UK,Cold brew black tea,596,I'm trying to cut down on caffeine,Caffeine concerns,Neutral,Functional Benefit Seeker
UK,Other cold brew tea,597,Caffeine keeps me awake at night,Caffeine concerns,Negative,Wellness Seeker
CA,Cold brew green tea,598,Rarely see it on the shelf,Availability,Neutral,Convenience Buyer
CA,Green tea flavoured (e.g. lemon),599,Cheaper options do the same job,Price / value,Negative,Traditional Drinker
CA,Chai tea,600,Don't know much about this type,Unfamiliarity,Neutral,Curious Explorer
US,Decaffeinated black tea,601,Not part of my routine,Habit / preference,Negative,Curious Explorer
US,Other cold brew tea,602,Don't want to pay more for it,Price / value,Negative,Price-Conscious Rejecter
CA,Lemon / ginger tea,603,It's too expensive for what it is,Price / value,Negative,Wellness Seeker
CA,Rooibos / red tea,604,I avoid caffeine for health reasons,Caffeine concerns,Negative,Wellness Seeker
UK,"Benefit / functional tea (sleep, detox, immunity)",605,It's too expensive for what it is,Price / value,Negative,Convenience Buyer
CA,Lemon / ginger tea,606,Too much caffeine for the evening,Caffeine concerns,Negative,Price-Conscious Rejecter
US,Regular / everyday black tea,607,Too much caffeine for the evening,Caffeine concerns,Negative,Convenience Buyer
US,Chai tea,608,Cheaper options do the same job,Price / value,Negative,Curious Explorer
US,"Fruit tea (e.g. berry, peach)",609,It feels gritty,Texture / mouthfeel,Negative,Curious Explorer
UK,Cold brew fruit and herbal tea,610,Too strong a flavour for my liking,Taste / flavour,Negative,Curious Explorer
CA,Green tea (pure),611,Trop amer pour moi,Taste / flavour,Negative,Curious Explorer
US,"Benefit / functional tea (sleep, detox, immunity)",612,I always get the brewing wrong,Brewing complexity,Neutral,Traditional Drinker
US,Lemon / ginger tea,613,Already happy with my regular brew,Habit / preference,Negative,Wellness Seeker
CA,Flavoured black tea (e.g. Earl Grey),614,Too fiddly compared to a teabag,Brewing complexity,Negative,Convenience Buyer
US,Flavoured black tea (e.g. Earl Grey),615,Too much caffeine for the evening,Caffeine concerns,Negative,Price-Conscious Rejecter
CA,Peppermint tea,616,Not familiar with how to drink it,Unfamiliarity,Positive,Functional Benefit Seeker
US,Lemon / ginger tea,617,Not worth the extra cost,Price / value,Negative,Wellness Seeker
CA,Cold brew green tea,618,I wouldn't know where to start with it,Unfamiliarity,Negative,Price-Conscious Rejecter
UK,"Benefit / functional tea (sleep, detox, immunity)",619,Already happy with my regular brew,Habit / preference,Negative,Price-Conscious Rejecter
UK,Matcha tea,620,The taste is too bitter for me,Taste / flavour,Negative,Convenience Buyer
CA,Regular / everyday black tea,621,Not familiar with how to drink it,Unfamiliarity,Negative,Price-Conscious Rejecter
UK,Matcha tea,622,Tastes medicinal and unpleasant,Taste / flavour,Neutral,Functional Benefit Seeker
CA,Green tea decaffeinated,623,It's too expensive for what it is,Price / value,Negative,Wellness Seeker
CA,Matcha tea,624,Too strong a flavour for my liking,Taste / flavour,Negative,Wellness Seeker
CA,Decaffeinated black tea,625,I avoid caffeine for health reasons,Caffeine concerns,Negative,Wellness Seeker
CA,Matcha tea,626,The bubbles put me off,Texture / mouthfeel,Negative,Traditional Drinker
US,Bubble tea,627,Want something caffeine-free,Caffeine concerns,Negative,Traditional Drinker
UK,"Origin black tea (e.g. Assam, Darjeeling)",628,I'm never sure how long to brew it,Brewing complexity,Negative,Functional Benefit Seeker
US,Other tea (e.g. white tea),629,Flavour is too earthy,Taste / flavour,Negative,Traditional Drinker
UK,Regular / everyday black tea,630,I drink it for wellness reasons,Health perception,Negative,Curious Explorer
CA,Green tea decaffeinated,631,Too much effort to prepare properly,Brewing complexity,Negative,Convenience Buyer
UK,Green tea (pure),632,Drinking hot tea is my habit,Habit / preference,Negative,Convenience Buyer
US,Other cold brew tea,633,Already happy with my regular brew,Habit / preference,Negative,Wellness Seeker
CA,Decaffeinated black tea,634,Too much caffeine for the evening,Caffeine concerns,Negative,Price-Conscious Rejecter
CA,"Origin black tea (e.g. Assam, Darjeeling)",635,Takes too long to make,Brewing complexity,Negative,Wellness Seeker
US,Green tea decaffeinated,636,Already happy with my regular brew,Habit / preference,Negative,Traditional Drinker
UK,"Benefit / functional tea (sleep, detox, immunity)",637,Too much caffeine for the evening,Caffeine concerns,Neutral,Wellness Seeker
CA,Decaffeinated black tea,638,It feels gritty,Texture / mouthfeel,Negative,Traditional Drinker
CA,Matcha tea,639,Trop amer pour moi,Taste / flavour,Negative,Convenience Buyer
US,Other herbal tea,640,Not familiar with how to drink it,Unfamiliarity,Negative,Wellness Seeker
UK,"Fruit tea (e.g. berry, peach)",641,Don't know much about this type,Unfamiliarity,Negative,Functional Benefit Seeker
CA,Green tea decaffeinated,642,I stick to what I know,Habit / preference,Negative,Price-Conscious Rejecter
UK,Cold brew green tea,643,Mouthfeel is strange,Texture / mouthfeel,Negative,Price-Conscious Rejecter
US,Green tea flavoured (e.g. lemon),644,I avoid caffeine for health reasons,Caffeine concerns,Neutral,Convenience Buyer
UK,Other cold brew tea,645,Caffeine keeps me awake at night,Caffeine concerns,Negative,Traditional Drinker
US,"Fruit tea (e.g. berry, peach)",646,Not convinced by the health claims,Health perception,Negative,Functional Benefit Seeker
UK,"Benefit / functional tea (sleep, detox, immunity)",647,Don't know much about this type,Unfamiliarity,Negative,Wellness Seeker
UK,Cold brew green tea,648,Caffeine keeps me awake at night,Caffeine concerns,Negative,Traditional Drinker
UK,Cold brew black tea,649,It's too expensive for what it is,Price / value,Positive,Price-Conscious Rejecter
CA,Cold brew green tea,650,Je ne connais pas ce type de thé,Unfamiliarity,Negative,Curious Explorer
UK,Instant tea powder,651,I stick to what I know,Habit / preference,Neutral,Convenience Buyer
UK,"Fruit tea (e.g. berry, peach)",652,Never been introduced to it properly,Unfamiliarity,Negative,Curious Explorer
CA,Cold brew fruit and herbal tea,653,I don't think it's actually that healthy,Health perception,Negative,Price-Conscious Rejecter
UK,Green tea (pure),654,Not part of my routine,Habit / preference,Negative,Traditional Drinker
US,Cold brew black tea,655,The aftertaste puts me off,Taste / flavour,Neutral,Wellness Seeker
UK,Green tea flavoured (e.g. lemon),656,Never been introduced to it properly,Unfamiliarity,Positive,Curious Explorer
CA,Rooibos / red tea,657,I just prefer my usual tea,Habit / preference,Positive,Traditional Drinker
UK,"Fruit tea (e.g. berry, peach)",658,Caffeine keeps me awake at night,Caffeine concerns,Negative,Functional Benefit Seeker
US,Chamomile tea,659,Flavour is too earthy,Taste / flavour,Negative,Traditional Drinker
US,Rooibos / red tea,660,Too strong a flavour for my liking,Taste / flavour,Negative,Traditional Drinker
US,Instant tea powder,661,Tastes medicinal and unpleasant,Taste / flavour,Negative,Convenience Buyer
US,Regular / everyday black tea,662,Never been introduced to it properly,Unfamiliarity,Negative,Convenience Buyer
CA,"Origin black tea (e.g. Assam, Darjeeling)",663,Flavour is too earthy,Taste / flavour,Negative,Price-Conscious Rejecter
US,Chai tea,664,Drinking hot tea is my habit,Habit / preference,Negative,Price-Conscious Rejecter
CA,Chamomile tea,665,I just prefer my usual tea,Habit / preference,Neutral,Convenience Buyer
CA,Bubble tea,666,The aftertaste puts me off,Taste / flavour,Negative,Traditional Drinker
UK,Rooibos / red tea,667,Takes too long to make,Brewing complexity,Negative,Convenience Buyer
UK,Lemon / ginger tea,668,I avoid caffeine for health reasons,Caffeine concerns,Negative,Curious Explorer
CA,Other cold brew tea,669,Flavour is too earthy,Taste / flavour,Neutral,Convenience Buyer
US,Green tea decaffeinated,670,Already happy with my regular brew,Habit / preference,Positive,Convenience Buyer
CA,Green tea (pure),671,Je ne connais pas ce type de thé,Unfamiliarity,Negative,Price-Conscious Rejecter
US,Matcha tea,672,I wouldn't know where to start with it,Unfamiliarity,Negative,Curious Explorer
CA,English Breakfast / extra-strong black tea,673,Rarely see it on the shelf,Availability,Negative,Functional Benefit Seeker
CA,Flavoured black tea (e.g. Earl Grey),674,Mouthfeel is strange,Texture / mouthfeel,Negative,Functional Benefit Seeker
US,Bubble tea,675,I'm never sure how long to brew it,Brewing complexity,Negative,Traditional Drinker
US,"Origin black tea (e.g. Assam, Darjeeling)",676,The bubbles put me off,Texture / mouthfeel,Negative,Price-Conscious Rejecter
US,Green tea flavoured (e.g. lemon),677,Don't know much about this type,Unfamiliarity,Negative,Functional Benefit Seeker
CA,Other herbal tea,678,C'est trop cher,Price / value,Positive,Curious Explorer
CA,"Benefit / functional tea (sleep, detox, immunity)",679,Don't know much about this type,Unfamiliarity,Negative,Convenience Buyer
US,Peppermint tea,680,I don't think it's actually that healthy,Health perception,Negative,Price-Conscious Rejecter
US,"Origin black tea (e.g. Assam, Darjeeling)",681,Don't want to pay more for it,Price / value,Negative,Curious Explorer
CA,Other cold brew tea,682,C'est trop cher,Price / value,Negative,Traditional Drinker
CA,Green tea flavoured (e.g. lemon),683,Je ne connais pas ce type de thé,Unfamiliarity,Negative,Functional Benefit Seeker
UK,Other cold brew tea,684,Already happy with my regular brew,Habit / preference,Neutral,Traditional Drinker
US,Cold brew fruit and herbal tea,685,Prefer options with proven benefits,Health perception,Negative,Traditional Drinker
US,Other cold brew tea,686,Mouthfeel is strange,Texture / mouthfeel,Negative,Wellness Seeker
US,Decaffeinated black tea,687,I'm never sure how long to brew it,Brewing complexity,Negative,Curious Explorer
CA,"Origin black tea (e.g. Assam, Darjeeling)",688,I find it bland and watery,Taste / flavour,Negative,Price-Conscious Rejecter
CA,Green tea decaffeinated,689,I don't think it's actually that healthy,Health perception,Negative,Functional Benefit Seeker
CA,English Breakfast / extra-strong black tea,690,Too strong a flavour for my liking,Taste / flavour,Negative,Traditional Drinker
UK,Lemon / ginger tea,691,Takes too long to make,Brewing complexity,Negative,Traditional Drinker
UK,Regular / everyday black tea,692,Just doesn't taste nice,Taste / flavour,Negative,Traditional Drinker
US,Bubble tea,693,Caffeine keeps me awake at night,Caffeine concerns,Negative,Convenience Buyer
US,Bubble tea,694,Don't want to pay more for it,Price / value,Negative,Wellness Seeker
UK,Flavoured black tea (e.g. Earl Grey),695,The aftertaste puts me off,Taste / flavour,Neutral,Functional Benefit Seeker
US,Other herbal tea,696,Too fiddly compared to a teabag,Brewing complexity,Negative,Convenience Buyer
US,Other herbal tea,697,I'm never sure how long to brew it,Brewing complexity,Neutral,Wellness Seeker
UK,"Fruit tea (e.g. berry, peach)",698,Too much effort to prepare properly,Brewing complexity,Negative,Price-Conscious Rejecter
UK,Decaffeinated black tea,699,It's too expensive for what it is,Price / value,Negative,Wellness Seeker
CA,Peppermint tea,700,Too fiddly compared to a teabag,Brewing complexity,Negative,Functional Benefit Seeker
US,Cold brew black tea,701,Not worth the extra cost,Price / value,Negative,Price-Conscious Rejecter
UK,Other herbal tea,702,Don't know much about this type,Unfamiliarity,Neutral,Convenience Buyer
US,English Breakfast / extra-strong black tea,703,Caffeine keeps me awake at night,Caffeine concerns,Negative,Functional Benefit Seeker
US,Green tea decaffeinated,704,I avoid caffeine for health reasons,Caffeine concerns,Positive,Traditional Drinker
US,Cold brew black tea,705,I just prefer my usual tea,Habit / preference,Neutral,Traditional Drinker
UK,Chamomile tea,706,Already happy with my regular brew,Habit / preference,Neutral,Price-Conscious Rejecter
US,Green tea decaffeinated,707,Not part of my routine,Habit / preference,Negative,Functional Benefit Seeker
CA,Regular / everyday black tea,708,I drink it for wellness reasons,Health perception,Negative,Curious Explorer
US,Green tea decaffeinated,709,Want something caffeine-free,Caffeine concerns,Negative,Wellness Seeker
US,Green tea flavoured (e.g. lemon),710,Not sure of the right water temperature,Brewing complexity,Negative,Convenience Buyer
UK,Chamomile tea,711,The aftertaste puts me off,Taste / flavour,Neutral,Price-Conscious Rejecter
CA,Bubble tea,712,I find it bland and watery,Taste / flavour,Negative,Traditional Drinker
US,Other herbal tea,713,Not convinced by the health claims,Health perception,Positive,Curious Explorer
US,Chamomile tea,714,I find it bland and watery,Taste / flavour,Negative,Traditional Drinker
CA,"Benefit / functional tea (sleep, detox, immunity)",715,I always get the brewing wrong,Brewing complexity,Neutral,Traditional Drinker
US,Bubble tea,716,I avoid caffeine for health reasons,Caffeine concerns,Negative,Curious Explorer
UK,Rooibos / red tea,717,I find it bland and watery,Taste / flavour,Neutral,Convenience Buyer
US,Other cold brew tea,718,Not worth the extra cost,Price / value,Negative,Price-Conscious Rejecter
CA,Other tea (e.g. white tea),719,Trop amer pour moi,Taste / flavour,Negative,Curious Explorer
UK,Cold brew fruit and herbal tea,720,Too much caffeine for the evening,Caffeine concerns,Neutral,Curious Explorer
CA,Bubble tea,721,I don't like the grassy flavour,Taste / flavour,Negative,Convenience Buyer
UK,Other tea (e.g. white tea),722,It feels gritty,Texture / mouthfeel,Negative,Convenience Buyer
US,Flavoured black tea (e.g. Earl Grey),723,I'm never sure how long to brew it,Brewing complexity,Negative,Price-Conscious Rejecter
US,Cold brew black tea,724,Too watery for me,Texture / mouthfeel,Negative,Wellness Seeker
CA,Instant tea powder,725,Je ne connais pas ce type de thé,Unfamiliarity,Neutral,Functional Benefit Seeker
UK,Green tea flavoured (e.g. lemon),726,Want something caffeine-free,Caffeine concerns,Negative,Functional Benefit Seeker
US,Cold brew black tea,727,Don't know much about this type,Unfamiliarity,Neutral,Functional Benefit Seeker
US,Matcha tea,728,I'm never sure how long to brew it,Brewing complexity,Negative,Price-Conscious Rejecter
US,Other cold brew tea,729,Want something caffeine-free,Caffeine concerns,Negative,Price-Conscious Rejecter
UK,Green tea decaffeinated,730,Premium pricing puts me off,Price / value,Negative,Convenience Buyer
CA,Chai tea,731,Not worth the extra cost,Price / value,Negative,Convenience Buyer
UK,Decaffeinated black tea,732,It's too expensive for what it is,Price / value,Negative,Traditional Drinker
UK,"Origin black tea (e.g. Assam, Darjeeling)",733,The taste is too bitter for me,Taste / flavour,Positive,Traditional Drinker
CA,Flavoured black tea (e.g. Earl Grey),734,I avoid caffeine for health reasons,Caffeine concerns,Neutral,Convenience Buyer
US,Bubble tea,735,Not sure of the right water temperature,Brewing complexity,Neutral,Curious Explorer
CA,Instant tea powder,736,Not sure of the right water temperature,Brewing complexity,Neutral,Traditional Drinker
CA,Instant tea powder,737,Don't want to pay more for it,Price / value,Negative,Traditional Drinker
CA,Chai tea,738,Looking for healthier alternatives,Health perception,Negative,Curious Explorer
CA,Lemon / ginger tea,739,Already happy with my regular brew,Habit / preference,Negative,Convenience Buyer
CA,Rooibos / red tea,740,Caffeine keeps me awake at night,Caffeine concerns,Negative,Price-Conscious Rejecter
US,Chai tea,741,I find it bland and watery,Taste / flavour,Positive,Curious Explorer
US,Cold brew green tea,742,Can't get it easily,Availability,Negative,Traditional Drinker
UK,Instant tea powder,743,Cheaper options do the same job,Price / value,Negative,Traditional Drinker
CA,Peppermint tea,744,Takes too long to make,Brewing complexity,Negative,Wellness Seeker
US,Green tea (pure),745,I'm trying to cut down on caffeine,Caffeine concerns,Neutral,Curious Explorer
CA,Rooibos / red tea,746,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Traditional Drinker
CA,Flavoured black tea (e.g. Earl Grey),747,I find it bland and watery,Taste / flavour,Negative,Curious Explorer
CA,Other herbal tea,748,I stick to what I know,Habit / preference,Negative,Traditional Drinker
CA,Bubble tea,749,I don't think it's actually that healthy,Health perception,Neutral,Curious Explorer
CA,Cold brew fruit and herbal tea,750,I don't think it's actually that healthy,Health perception,Negative,Price-Conscious Rejecter
US,Rooibos / red tea,751,Drinking hot tea is my habit,Habit / preference,Neutral,Price-Conscious Rejecter
US,"Origin black tea (e.g. Assam, Darjeeling)",752,Cheaper options do the same job,Price / value,Negative,Functional Benefit Seeker
CA,Cold brew fruit and herbal tea,753,I wouldn't know where to start with it,Unfamiliarity,Negative,Traditional Drinker
UK,Rooibos / red tea,754,Too much caffeine for the evening,Caffeine concerns,Negative,Wellness Seeker
US,Cold brew fruit and herbal tea,755,Mouthfeel is strange,Texture / mouthfeel,Negative,Price-Conscious Rejecter
CA,Green tea (pure),756,Not convinced by the health claims,Health perception,Negative,Traditional Drinker
CA,Regular / everyday black tea,757,Don't want to pay more for it,Price / value,Neutral,Price-Conscious Rejecter
US,Other tea (e.g. white tea),758,Already happy with my regular brew,Habit / preference,Negative,Convenience Buyer
CA,Cold brew green tea,759,Je préfère le thé chaud,Habit / preference,Positive,Traditional Drinker
CA,Other herbal tea,760,Je ne connais pas ce type de thé,Unfamiliarity,Negative,Traditional Drinker
UK,Decaffeinated black tea,761,I just prefer my usual tea,Habit / preference,Neutral,Wellness Seeker
US,English Breakfast / extra-strong black tea,762,It's too expensive for what it is,Price / value,Negative,Curious Explorer
CA,Peppermint tea,763,Premium pricing puts me off,Price / value,Negative,Traditional Drinker
UK,Bubble tea,764,Too strong a flavour for my liking,Taste / flavour,Negative,Curious Explorer
UK,Chai tea,765,Not worth the extra cost,Price / value,Negative,Curious Explorer
UK,"Origin black tea (e.g. Assam, Darjeeling)",766,Too much effort to prepare properly,Brewing complexity,Neutral,Curious Explorer
US,Green tea (pure),767,I stick to what I know,Habit / preference,Negative,Curious Explorer
US,Other herbal tea,768,Premium pricing puts me off,Price / value,Negative,Wellness Seeker
CA,Cold brew black tea,769,Caffeine keeps me awake at night,Caffeine concerns,Neutral,Price-Conscious Rejecter
US,Cold brew green tea,770,Hard to find in my local shop,Availability,Negative,Convenience Buyer
CA,Cold brew green tea,771,Not convinced by the health claims,Health perception,Negative,Wellness Seeker
UK,"Benefit / functional tea (sleep, detox, immunity)",772,Takes too long to make,Brewing complexity,Negative,Convenience Buyer
CA,Green tea decaffeinated,773,Not stocked where I shop,Availability,Negative,Convenience Buyer
CA,Lemon / ginger tea,774,I wouldn't know where to start with it,Unfamiliarity,Neutral,Functional Benefit Seeker
UK,English Breakfast / extra-strong black tea,775,Don't want to pay more for it,Price / value,Neutral,Price-Conscious Rejecter
CA,Flavoured black tea (e.g. Earl Grey),776,Too fiddly compared to a teabag,Brewing complexity,Negative,Curious Explorer
US,Peppermint tea,777,Just doesn't taste nice,Taste / flavour,Neutral,Wellness Seeker
US,Chamomile tea,778,Already happy with my regular brew,Habit / preference,Negative,Wellness Seeker
CA,Flavoured black tea (e.g. Earl Grey),779,I always get the brewing wrong,Brewing complexity,Negative,Convenience Buyer
UK,Cold brew green tea,780,Not sure of the right water temperature,Brewing complexity,Negative,Price-Conscious Rejecter
CA,Rooibos / red tea,781,Not part of my routine,Habit / preference,Negative,Wellness Seeker
CA,Lemon / ginger tea,782,I avoid caffeine for health reasons,Caffeine concerns,Negative,Traditional Drinker
US,Cold brew fruit and herbal tea,783,Premium pricing puts me off,Price / value,Negative,Traditional Drinker
US,Cold brew green tea,784,Can't get it easily,Availability,Neutral,Price-Conscious Rejecter
CA,Decaffeinated black tea,785,The bubbles put me off,Texture / mouthfeel,Negative,Traditional Drinker
US,"Benefit / functional tea (sleep, detox, immunity)",786,I'm never sure how long to brew it,Brewing complexity,Negative,Traditional Drinker
UK,"Fruit tea (e.g. berry, peach)",787,Not stocked where I shop,Availability,Negative,Functional Benefit Seeker
UK,Green tea flavoured (e.g. lemon),788,I wouldn't know where to start with it,Unfamiliarity,Positive,Wellness Seeker
UK,Chai tea,789,I'm never sure how long to brew it,Brewing complexity,Negative,Curious Explorer
CA,Green tea (pure),790,I find it bland and watery,Taste / flavour,Negative,Convenience Buyer
CA,Other herbal tea,791,It's too expensive for what it is,Price / value,Negative,Convenience Buyer
UK,"Benefit / functional tea (sleep, detox, immunity)",792,It feels gritty,Texture / mouthfeel,Negative,Convenience Buyer
UK,Other herbal tea,793,Want something caffeine-free,Caffeine concerns,Negative,Price-Conscious Rejecter
UK,Green tea flavoured (e.g. lemon),794,Too fiddly compared to a teabag,Brewing complexity,Negative,Wellness Seeker
CA,Chai tea,795,Already happy with my regular brew,Habit / preference,Negative,Wellness Seeker
US,"Benefit / functional tea (sleep, detox, immunity)",796,I find it bland and watery,Taste / flavour,Positive,Price-Conscious Rejecter
US,Matcha tea,797,I don't like the texture,Texture / mouthfeel,Neutral,Curious Explorer
CA,"Fruit tea (e.g. berry, peach)",798,I've never really tried it,Unfamiliarity,Negative,Wellness Seeker
US,Lemon / ginger tea,799,Don't want to pay more for it,Price / value,Negative,Traditional Drinker
UK,Cold brew fruit and herbal tea,800,I avoid caffeine for health reasons,Caffeine concerns,Negative,Functional Benefit Seeker
CA,Instant tea powder,801,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Price-Conscious Rejecter
US,"Fruit tea (e.g. berry, peach)",802,I'm never sure how long to brew it,Brewing complexity,Neutral,Functional Benefit Seeker
US,"Fruit tea (e.g. berry, peach)",803,I always get the brewing wrong,Brewing complexity,Negative,Convenience Buyer
UK,Other herbal tea,804,I don't think it's actually that healthy,Health perception,Neutral,Traditional Drinker
UK,Cold brew green tea,805,Not worth the extra cost,Price / value,Negative,Curious Explorer
US,Chai tea,806,Hard to find in my local shop,Availability,Negative,Curious Explorer
US,Chamomile tea,807,Tastes medicinal and unpleasant,Taste / flavour,Negative,Curious Explorer
UK,Lemon / ginger tea,808,I'm never sure how long to brew it,Brewing complexity,Positive,Functional Benefit Seeker
CA,Green tea decaffeinated,809,I just prefer my usual tea,Habit / preference,Negative,Traditional Drinker
UK,Cold brew fruit and herbal tea,810,Too much caffeine for the evening,Caffeine concerns,Neutral,Price-Conscious Rejecter
CA,Flavoured black tea (e.g. Earl Grey),811,Too fiddly compared to a teabag,Brewing complexity,Negative,Price-Conscious Rejecter
US,Green tea (pure),812,Don't know much about this type,Unfamiliarity,Negative,Curious Explorer
CA,Cold brew fruit and herbal tea,813,It's too expensive for what it is,Price / value,Negative,Wellness Seeker
US,Flavoured black tea (e.g. Earl Grey),814,Not sure of the right water temperature,Brewing complexity,Negative,Wellness Seeker
UK,Matcha tea,815,I avoid caffeine for health reasons,Caffeine concerns,Negative,Curious Explorer
CA,Chai tea,816,The taste is too bitter for me,Taste / flavour,Neutral,Traditional Drinker
CA,Chamomile tea,817,Mouthfeel is strange,Texture / mouthfeel,Positive,Functional Benefit Seeker
UK,Green tea (pure),818,I'm never sure how long to brew it,Brewing complexity,Neutral,Price-Conscious Rejecter
UK,Regular / everyday black tea,819,Looking for healthier alternatives,Health perception,Negative,Convenience Buyer
UK,"Origin black tea (e.g. Assam, Darjeeling)",820,Too strong a flavour for my liking,Taste / flavour,Negative,Convenience Buyer
CA,Cold brew green tea,821,The aftertaste puts me off,Taste / flavour,Negative,Curious Explorer
UK,Lemon / ginger tea,822,I'm trying to cut down on caffeine,Caffeine concerns,Negative,Functional Benefit Seeker
UK,Other herbal tea,823,I don't like the texture,Texture / mouthfeel,Negative,Convenience Buyer
CA,Green tea flavoured (e.g. lemon),824,Too much caffeine for the evening,Caffeine concerns,Negative,Convenience Buyer
US,"Benefit / functional tea (sleep, detox, immunity)",825,I just prefer my usual tea,Habit / preference,Negative,Curious Explorer
US,English Breakfast / extra-strong black tea,826,I avoid caffeine for health reasons,Caffeine concerns,Neutral,Curious Explorer
CA,Lemon / ginger tea,827,C'est trop cher,Price / value,Negative,Wellness Seeker
CA,Rooibos / red tea,828,Rarely see it on the shelf,Availability,Neutral,Functional Benefit Seeker
US,Peppermint tea,829,I wouldn't know where to start with it,Unfamiliarity,Neutral,Curious Explorer
US,Regular / everyday black tea,830,Not familiar with how to drink it,Unfamiliarity,Negative,Curious Explorer
CA,Cold brew fruit and herbal tea,831,Not worth the extra cost,Price / value,Negative,Convenience Buyer
UK,Matcha tea,832,Not familiar with how to drink it,Unfamiliarity,Negative,Wellness Seeker
CA,Other tea (e.g. white tea),833,Too much effort to prepare properly,Brewing complexity,Negative,Price-Conscious Rejecter
UK,"Fruit tea (e.g. berry, peach)",834,I'm trying to cut down on caffeine,Caffeine concerns,Positive,Functional Benefit Seeker
UK,"Origin black tea (e.g. Assam, Darjeeling)",835,It's too expensive for what it is,Price / value,Negative,Price-Conscious Rejecter
US,Green tea flavoured (e.g. lemon),836,I've never really tried it,Unfamiliarity,Negative,Price-Conscious Rejecter
UK,Bubble tea,837,The bubbles put me off,Texture / mouthfeel,Negative,Wellness Seeker
US,Decaffeinated black tea,838,Cheaper options do the same job,Price / value,Positive,Price-Conscious Rejecter
US,Green tea flavoured (e.g. lemon),839,Cheaper options do the same job,Price / value,Negative,Wellness Seeker
UK,Rooibos / red tea,840,Not worth the extra cost,Price / value,Negative,Functional Benefit Seeker
CA,Chai tea,841,I find it bland and watery,Taste / flavour,Negative,Functional Benefit Seeker
UK,Instant tea powder,842,Already happy with my regular brew,Habit / preference,Positive,Traditional Drinker
